age,employment_type,monthly_income,credit_score,savings,existing_loan,loan_purpose,requested_amount,tenure_years,collateral,recommended_loan_type,approved_amount,approval_status
25,Business,33344,728,110014,No,Vehicle Upgrade,408845,9,No,Car,91971,Rejected
37,Self-Employed,34295,883,821873,Yes,Taxi Purchase,513986,1,No,Car,413242,Partial
23,Business,165158,681,107056,No,Used Car,1576961,6,No,Car,1576961,Partial
54,Freelancer,89093,855,1121796,No,Used Car,1822171,6,Yes,Car,1822171,Approved
32,Business,32818,847,842972,No,New Car Purchase,1617677,1,Yes,Car,568722,Approved
36,Freelancer,43713,746,1369662,No,Taxi Purchase,672432,8,Yes,Car,672432,Approved
51,Salaried,34953,532,768297,No,New Car Purchase,527794,7,No,Car,21733,Rejected
49,Salaried,74738,588,1361886,No,Vehicle Upgrade,1290926,1,No,Car,1290926,Partial
44,Salaried,60739,838,164734,Yes,New Car Purchase,1616009,6,Yes,Car,1123623,Partial
41,Self-Employed,128168,830,802775,Yes,New Car Purchase,1620403,9,No,Car,1620403,Approved
25,Self-Employed,20675,715,1432647,No,New Car Purchase,632560,5,No,Car,409533,Partial
30,Business,37873,788,1225765,No,Used Car,726292,2,No,Car,510676,Approved
54,Salaried,156209,614,65987,Yes,New Car Purchase,1558504,5,Yes,Car,1558504,Partial
30,Self-Employed,81717,671,89191,No,Vehicle Upgrade,1130080,12,No,Car,1130080,Partial
61,Salaried,168801,684,750150,Yes,Vehicle Upgrade,1266286,12,Yes,Car,1266286,Approved
42,Business,34714,717,433639,Yes,Taxi Purchase,1087134,7,Yes,Car,528217,Partial
57,Freelancer,29696,533,1084510,No,New Car Purchase,1528865,1,No,Car,475000,Partial
42,Self-Employed,67427,875,1228566,No,Vehicle Upgrade,1007114,4,No,Car,1002949,Approved
53,Self-Employed,21401,690,326855,No,Used Car,1553447,14,No,Car,418320,Partial
60,Business,50914,670,507263,Yes,Vehicle Upgrade,652364,14,No,Car,568981,Partial
22,Freelancer,62992,567,377977,Yes,Taxi Purchase,770048,5,No,Car,766590,Partial
61,Business,84126,748,1362714,No,New Car Purchase,426147,7,No,Car,426147,Approved
44,Self-Employed,26372,792,108762,Yes,New Car Purchase,1146516,15,Yes,Car,15702,Rejected
24,Self-Employed,78552,778,667921,Yes,Used Car,1381071,5,No,Car,1307471,Partial
51,Self-Employed,36729,842,849301,Yes,Taxi Purchase,389327,7,Yes,Car,389327,Approved
28,Self-Employed,48250,699,66537,No,Vehicle Upgrade,1060831,9,No,Car,683325,Partial
54,Salaried,71291,783,835900,Yes,Taxi Purchase,594801,7,Yes,Car,594801,Approved
43,Salaried,27178,646,1416858,No,Used Car,539885,1,Yes,Car,487376,Partial
24,Business,46608,792,523109,No,New Car Purchase,1716159,6,Yes,Car,875483,Approved
44,Self-Employed,53799,635,553609,No,New Car Purchase,1946239,4,Yes,Car,1375085,Partial
57,Business,24268,739,1293856,No,New Car Purchase,1978711,6,No,Car,351879,Partial
40,Salaried,26018,677,249400,Yes,Used Car,730634,7,Yes,Car,171306,Rejected
57,Self-Employed,28531,891,1440263,Yes,Vehicle Upgrade,685881,13,Yes,Car,470664,Partial
28,Business,49959,507,564461,No,Taxi Purchase,494544,3,No,Car,494544,Partial
29,Salaried,133227,723,1367953,No,New Car Purchase,496228,8,Yes,Car,496228,Approved
50,Freelancer,73513,777,307462,No,Used Car,803279,1,No,Car,803279,Approved
27,Self-Employed,33805,613,848167,No,New Car Purchase,1959337,2,Yes,Car,503847,Partial
56,Self-Employed,130817,721,1417918,No,Vehicle Upgrade,897447,1,Yes,Car,897447,Approved
49,Salaried,110180,506,1183181,Yes,Taxi Purchase,1512762,15,Yes,Car,1512762,Partial
49,Business,47228,753,951317,Yes,New Car Purchase,736695,9,No,Car,606877,Partial
28,Salaried,80966,663,1418121,Yes,Taxi Purchase,1680085,11,No,Car,870756,Partial
30,Business,33788,803,891875,Yes,New Car Purchase,1517074,9,Yes,Car,619807,Partial
60,Salaried,41471,602,1186007,No,Vehicle Upgrade,1994502,1,No,Car,746971,Partial
56,Business,21300,695,233064,No,Taxi Purchase,1691036,13,No,Car,324034,Rejected
26,Self-Employed,58900,712,238527,No,Taxi Purchase,1003065,15,Yes,Car,1003065,Partial
48,Business,35757,513,140598,Yes,Used Car,608638,6,Yes,Car,46878,Rejected
57,Self-Employed,41431,562,1078855,Yes,Vehicle Upgrade,1034385,8,Yes,Car,559275,Partial
52,Freelancer,40901,674,1492163,Yes,Taxi Purchase,330341,6,No,Car,47859,Rejected
42,Self-Employed,161860,874,1028463,No,New Car Purchase,687247,11,Yes,Car,687247,Approved
52,Freelancer,50934,704,292216,No,Vehicle Upgrade,1713777,15,No,Car,61918,Rejected
57,Self-Employed,91318,686,911715,No,New Car Purchase,1974721,12,No,Car,1282589,Approved
48,Freelancer,22400,669,244983,Yes,New Car Purchase,1072147,5,Yes,Car,221381,Rejected
50,Freelancer,95293,633,657310,No,Vehicle Upgrade,1032272,7,No,Car,1032272,Partial
23,Freelancer,30530,526,631889,No,Used Car,970651,12,No,Car,511770,Partial
24,Freelancer,63631,710,1027963,Yes,Used Car,712899,14,No,Car,712899,Approved
62,Freelancer,49819,713,645375,Yes,Taxi Purchase,506661,11,No,Car,506661,Partial
55,Self-Employed,21879,553,1097939,No,Used Car,1929646,11,No,Car,339842,Partial
48,Salaried,85895,559,1485881,Yes,Used Car,593044,3,No,Car,593044,Partial
39,Self-Employed,62858,696,1275885,Yes,Used Car,1581596,13,No,Car,644488,Approved
43,Self-Employed,23295,544,481989,Yes,Taxi Purchase,660797,3,No,Car,158872,Rejected
37,Salaried,25104,539,388249,No,Vehicle Upgrade,1847489,13,Yes,Car,580842,Partial
41,Freelancer,39694,572,331381,Yes,Taxi Purchase,1360676,4,No,Car,668300,Partial
34,Self-Employed,27615,716,278936,Yes,New Car Purchase,1346159,5,Yes,Car,401314,Partial
36,Freelancer,100224,795,1207891,No,Used Car,1594639,5,Yes,Car,1594639,Approved
27,Freelancer,35999,559,707793,Yes,New Car Purchase,1895229,7,No,Car,461692,Partial
43,Self-Employed,44525,808,274015,No,Vehicle Upgrade,560931,8,No,Car,560931,Partial
38,Business,56047,582,757195,No,Taxi Purchase,1112435,14,No,Car,770995,Partial
43,Self-Employed,59414,871,541392,No,Used Car,841850,6,No,Car,841850,Approved
47,Freelancer,50371,790,1025680,Yes,Used Car,1556337,11,Yes,Car,812492,Approved
42,Salaried,72071,706,143574,Yes,Used Car,1984891,1,No,Car,795261,Partial
